자치구 행정동,골목_컨셉,갤러리_컨셉,음악_컨셉,행정동,한옥 개수,예술_컨셉
서대문구 북가좌동,0.0,0.0,1.0,북가좌동,0.0,0.0
서대문구 연희동,0.0,0.0,2.0,연희동,0.0,0.0
서대문구 창천동,0.0,0.0,2.0,창천동,1.0,0.0
서대문구 홍은동,0.0,0.0,2.0,홍은동,0.0,0.0
서대문구 홍제동,0.0,0.0,1.0,홍제동,1.0,0.0
서초구 반포동,0.0,0.0,4.0,반포동,0.0,0.0
서초구 방배동,0.0,0.0,8.0,방배동,0.0,0.0
서초구 서초동,0.0,0.0,33.0,서초동,0.0,0.0
서초구 양재동,0.0,0.0,10.0,양재동,0.0,0.0
서초구 우면동,0.0,0.0,1.0,우면동,0.0,0.0
서초구 잠원동,0.0,0.0,7.0,잠원동,0.0,0.0
성동구 마장동,0.0,0.0,1.0,마장동,0.0,0.0
성동구 성수동*가,0.0,0.0,9.0,성수동*가,0.0,0.0
성동구 성수동1가,0.0,0.0,1.0,성수동1가,0.0,0.0
성동구 행당동,0.0,0.0,2.0,행당동,0.0,0.0
성북구 길음동,0.0,0.0,2.0,길음동,5.0,0.0
성북구 돈암동,0.0,0.0,2.0,돈암동,0.0,0.0
성북구 석관동,0.0,0.0,1.0,석관동,1.0,0.0
성북구 종암동,0.0,0.0,1.0,종암동,0.0,0.0
송파구 가락동,0.0,0.0,2.0,가락동,0.0,0.0
송파구 거여동,0.0,0.0,2.0,거여동,0.0,0.0
송파구 문정동,0.0,0.0,6.0,문정동,0.0,0.0
송파구 방이동,0.0,0.0,3.0,방이동,0.0,0.0
송파구 삼전동,0.0,0.0,1.0,삼전동,0.0,0.0
송파구 석촌동,0.0,0.0,1.0,석촌동,0.0,0.0
송파구 신천동,0.0,0.0,1.0,신천동,0.0,0.0
송파구 잠실동,0.0,0.0,2.0,잠실동,0.0,0.0
양천구 신월동,0.0,0.0,2.0,신월동,0.0,0.0
양천구 신정동,0.0,0.0,2.0,신정동,0.0,0.0
영등포구 당산동*가,0.0,0.0,4.0,당산동*가,0.0,0.0
영등포구 대림동,0.0,0.0,2.0,대림동,0.0,0.0
영등포구 문래동*가,0.0,0.0,3.0,문래동*가,0.0,0.0
영등포구 양평동*가,0.0,0.0,2.0,양평동*가,0.0,0.0
용산구 동자동,0.0,0.0,1.0,동자동,0.0,0.0
용산구 용문동,0.0,0.0,1.0,용문동,0.0,0.0
용산구 용산동*가,0.0,0.0,1.0,용산동*가,0.0,0.0
용산구 원효로*가,0.0,0.0,6.0,원효로*가,0.0,0.0
용산구 이촌동,0.0,0.0,1.0,이촌동,0.0,0.0
용산구 청파동*가,0.0,0.0,1.0,청파동*가,0.0,0.0
용산구 한강로*가,0.0,0.0,5.0,한강로*가,0.0,0.0
용산구 한남동,0.0,0.0,6.0,한남동,0.0,0.0
은평구 갈현동,0.0,0.0,1.0,갈현동,0.0,0.0
은평구 녹번동,0.0,0.0,5.0,녹번동,0.0,0.0
은평구 응암동,0.0,0.0,2.0,응암동,1.0,0.0
종로구 계동,0.0,0.0,1.0,계동,202.0,0.0
종로구 낙원동,0.0,0.0,3.0,낙원동,2.0,0.0
종로구 내수동,0.0,0.0,1.0,내수동,0.0,0.0
종로구 당주동,0.0,0.0,2.0,당주동,0.0,0.0
종로구 돈의동,0.0,0.0,1.0,돈의동,0.0,0.0
종로구 동숭동,0.0,0.0,3.0,동숭동,3.0,0.0
종로구 명륜*가,0.0,0.0,1.0,명륜*가,0.0,0.0
종로구 묘동,0.0,0.0,1.0,묘동,0.0,0.0
종로구 부암동,0.0,0.0,1.0,부암동,16.0,0.0
종로구 세종로,0.0,0.0,1.0,세종로,0.0,0.0
종로구 숭인동,0.0,0.0,2.0,숭인동,9.0,0.0
종로구 연건동,0.0,0.0,1.0,연건동,0.0,0.0
종로구 인의동,0.0,0.0,1.0,인의동,0.0,0.0
종로구 재동,0.0,0.0,1.0,재동,18.0,0.0
종로구 적선동,0.0,0.0,1.0,적선동,2.0,0.0
종로구 종로*가,0.0,0.0,3.0,종로*가,0.0,0.0
종로구 청진동,0.0,0.0,2.0,청진동,0.0,0.0
종로구 충신동,0.0,0.0,2.0,충신동,0.0,0.0
종로구 팔판동,0.0,0.0,1.0,팔판동,30.0,0.0
중구 광희동*가,0.0,0.0,1.0,광희동*가,0.0,0.0
중구 남대문로*가,0.0,0.0,2.0,남대문로*가,0.0,0.0
중구 다동,0.0,0.0,1.0,다동,0.0,0.0
중구 순화동,0.0,0.0,1.0,순화동,0.0,0.0
중구 쌍림동,0.0,0.0,1.0,쌍림동,0.0,0.0
중구 예장동,0.0,0.0,2.0,예장동,1.0,0.0
중구 을지로*가,0.0,0.0,2.0,을지로*가,0.0,0.0
중랑구 면목동,0.0,0.0,1.0,면목동,0.0,0.0
강북구 우이동,0.0,0.0,0.0,0,3.0,0.0
광진구 능동,0.0,0.0,0.0,0,4.0,0.0
동대문구 전농동,0.0,0.0,0.0,0,1.0,0.0
마포구 염리동,0.0,0.0,0.0,0,2.0,0.0
성북구 동선동2가,0.0,0.0,0.0,0,8.0,0.0
성북구 동선동4가,0.0,0.0,0.0,0,2.0,0.0
성북구 동소문동4가,0.0,0.0,0.0,0,2.0,0.0
성북구 동소문동5가,0.0,0.0,0.0,0,1.0,0.0
성북구 삼선동1가,0.0,0.0,0.0,0,8.0,0.0
성북구 성북동,0.0,0.0,0.0,0,30.0,0.0
성북구 성북동1가,0.0,0.0,0.0,0,5.0,0.0
성북구 안암동3가,0.0,0.0,0.0,0,1.0,0.0
은평구 진관동,0.0,0.0,0.0,0,128.0,0.0
종로구 ,0.0,0.0,0.0,0,1.0,0.0
종로구 견지동,0.0,0.0,0.0,0,4.0,0.0
종로구 구기동,0.0,0.0,0.0,0,1.0,0.0
종로구 권농동,0.0,0.0,0.0,0,24.0,0.0
종로구 누상동,0.0,0.0,0.0,0,13.0,0.0
종로구 누하동,0.0,0.0,0.0,0,99.0,0.0
종로구 명륜1가,0.0,0.0,0.0,0,3.0,0.0
종로구 명륜2가,0.0,0.0,0.0,0,1.0,0.0
종로구 사간동,0.0,0.0,0.0,0,15.0,0.0
종로구 삼청동,0.0,0.0,0.0,0,129.0,0.0
종로구 소격동,0.0,0.0,0.0,0,20.0,0.0
