name,add,real_add,행정동,price,총층수,1층포함여부,평수(㎡),대관단위(시간),총평수,수용인원수,시간당대관료,평당가격
포레포레,서울 성동구,서울 성동구 서울숲2길 40-10,성수1가2동,6000000,1,1,289.2,23,289.2,96,260869.5652,902.0386073
가로수길 팝업/대관 다이닝바 안주집,서울 강남구,서울 강남구 도산대로11길 34 지하1층,신사동,3000000,1,0,270,23,270,90,130434.7826,483.0917874
[용리단길] 더 플레이스 연,서울 용산구,서울 용산구 한강대로48길 17-4,한강로동,3500000,4,0,64,23,256,85,152173.913,594.4293478
신용산 SEOUL 281,서울 용산구,서울 용산구 한강대로 133-1,한강로동,2500000,2,1,30,23,60,20,108695.6522,1811.594203
[고메이494 한남] Casuial Dining,서울 용산구,서울 용산구 한남대로 91 고메이494 한남,한남동,2000000,1,1,615,23,615,205,86956.52174,141.3927183
[고메이494 한남] 야외팝업존 B,서울 용산구,서울 용산구 한남대로 91 고메이494 한남,한남동,1500000,1,1,27.3,23,27.3,9,65217.3913,2388.915432
[고메이494 한남] 내부팝업존 B,서울 용산구,서울 용산구 한남대로 91 고메이494 한남,한남동,1500000,1,1,10,23,10,3,65217.3913,6521.73913
브릭 피라미드 서울숲 3층,서울 성동구,서울 성동구 서울숲4길 18-5,성수1가2동,1000000,6,1,112.5,23,675,225,43478.26087,64.41223833
성수 서울숲 펍 케이지드,서울 성동구,"서울 성동구 왕십리로 104 지하1층(성수동1가, 영화빌딩)",,1000000,1,0,130,23,130,43,43478.26087,334.4481605
세컨라운드 신촌,서울 서대문구,서울 서대문구 신촌로 51 1F,신촌동,250000,1,1,54,10,54,18,25000,462.962963
논현동 아티잰 빌딩 옥외광고,서울 강남구,서울 강남구 논현로 614,논현2동,1000000,2,1,150,23,300,100,43478.26087,144.9275362
논현동 아티잰 빌딩 2층,서울 강남구,서울 강남구 논현로 614,논현2동,1500000,2,1,150,23,300,100,65217.3913,217.3913043
유성대중사우나 남탕,서울 마포구,서울 마포구 성미산로 32-1,,2000000,2,0,90,23,180,60,86956.52174,483.0917874
아트힐 연희 루프탑,서울 서대문구,서울 서대문구 연희로11다길 15,연희동,1500000,1,0,180,23,180,60,65217.3913,362.3188406
아트힐 연희 2F 카페,서울 서대문구,서울 서대문구 연희로11다길 15,연희동,1500000,2,0,50,23,100,33,65217.3913,652.173913
목욕탕 실내포차,서울 동대문구,서울 동대문구 전농로29길 95 홍지탕,,2000000,2,1,100,23,200,67,86956.52174,434.7826087
3층 팝업 공간 E,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,35,24,35,12,20833.33333,595.2380952
3층 팝업 공간 D,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,35,24,35,12,20833.33333,595.2380952
1층 팝업 공간 C + 복도,서울 용산구,서울 용산구 청파로 74,한강로동,2000000,1,1,310,24,310,103,83333.33333,268.8172043
[메가박스 센트럴 팝업] 상영관 복도,서울 서초구,서울 서초구 신반포로 194,반포동,2000000,1,0,150,23,150,50,86956.52174,579.7101449
[메가박스 강남 팝업] 로비,서울 서초구,서울 서초구 서초대로77길 3,반포동,2000000,4,0,150,23,600,200,86956.52174,144.9275362
양재천 인근 프로젝트룸,서울 서초구,서울 서초구 양재천로23길 7 1층,양재1동,1500000,1,1,56.2,24,56.2,19,62500,1112.099644
[회현] 야외주차장,서울 중구,서울 중구 퇴계로6길 7,회현동,3000000,1,1,639.2,24,639.2,213,125000,195.5569462
상수 역세권 술집,서울 마포구,서울 마포구 와우산로 28 1층 2호,,0,1,1,45.5,24,45.5,15,1200000,26373.62637
합정 실내외 행사공간,서울 마포구,서울 마포구 잔다리로3안길 21 서교동 395-111베이스캠프,,0,1,1,156.8,24,156.8,52,1200000,7653.061224
홍대 연남동 팝업스토어 공간 1F,서울 마포구,서울 마포구 동교로38안길 11,,450000,1,1,76,23,76,25,19565.21739,257.4370709
"합정역 팝업스토어 , 공간대여",서울 마포구,서울 마포구 잔다리로3안길 35 1층,,1000000,1,1,83,23,83,28,43478.26087,523.8344683
구욱희씨 성수,서울 성동구,서울 성동구 서울숲2길 27,성수1가2동,6000000,1,1,340,24,340,113,250000,735.2941176
인스포토 연남 2호점,서울 마포구,서울 마포구 양화로21길 33,,2000000,1,1,26,24,26,9,83333.33333,3205.128205
L7 호텔 강남,서울 강남구,서울 강남구 테헤란로 415,삼성2동,5000000,1,0,210,24,210,70,208333.3333,992.0634921
산울림소극장 카페 홍대,서울 마포구,서울 마포구 와우산로 157,,0,3,1,147,24,441,147,1200000,2721.088435
모과 압구정로데오,서울 강남구,서울 강남구 선릉로 842,청담동,7000000,1,1,184.4,24,184.4,61,291666.6667,1581.706435
크래프트한스 연남,서울 마포구,서울 마포구 양화로23길 22 서울 마포구 양화로23길 22,,3000000,4,1,133,24,532,177,125000,234.962406
공간머신,서울 서대문구,서울 서대문구 연희로25길 101 연화아파트상가지하1층1호,연희동,45000,1,0,132,9,132,44,5000,37.87878788
잠실 엠 스테이크하우스,서울 송파구,"서울 송파구 올림픽로 300 에비뉴엘, 6층",,500000,1,0,349,1,349,116,500000,1432.664756
장디자인아트(JEAN DESIGNART),서울 강남구,서울 강남구 도산대로67길 27 1~2층,청담동,10000000,2,1,198.8,23,397.6,133,434782.6087,1093.517628
로직스퀘어,서울 강남구,서울 강남구 학동로11길 6,논현1동,2000000,2,1,270,23,540,180,86956.52174,161.0305958
디청담 옥외광고,서울 강남구,서울 강남구 압구정로79길 58 디청담,청담동,1000000,1,1,400,23,400,133,43478.26087,108.6956522
인포멀스퀘어 옥외광고,서울 성동구,서울 성동구 서울숲4길 15-1 통건물,성수1가2동,1500000,4,0,697,23,2788,929,65217.3913,23.39217766
6층 팝업 공간 A,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,100,24,100,33,20833.33333,208.3333333
5층 롯데시네마 용산관 통로,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,200,24,200,67,20833.33333,104.1666667
4층 복도 공간 A,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,40,24,40,13,20833.33333,520.8333333
4층 롯데시네마 용산관 통로,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,120,24,120,40,20833.33333,173.6111111
4층 롯데시네마 용산관 복도,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,40,24,40,13,20833.33333,520.8333333
3층 팝업 공간 B,서울 용산구,서울 용산구 청파로 74,한강로동,700000,1,0,133,24,133,44,29166.66667,219.2982456
3층 팝업 공간 C,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,84,24,84,28,20833.33333,248.015873
2층 팝업 공간 B,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,21,24,21,7,20833.33333,992.0634921
2층 팝업 공간 A,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,36,24,36,12,20833.33333,578.7037037
2층 특별행사장,서울 용산구,서울 용산구 청파로 74,한강로동,1000000,1,0,90,24,90,30,41666.66667,462.962963
1층 팝업 공간 B,서울 용산구,서울 용산구 청파로 74,한강로동,500000,1,0,88,24,88,29,20833.33333,236.7424242
한남동 치로 피자바,서울 용산구,서울 용산구 이태원로 254 3층,한남동,7000000,1,0,144,23,144,48,304347.8261,2113.52657
[메가박스 이수 팝업] 상영관 진입로,서울 동작구,서울 동작구 동작대로 89,,1000000,1,0,150,23,150,50,43478.26087,289.8550725
